video_path,track_name,x,y,condition,x(µm),y(µm),t(s),frames,total_distance,net_displacement,frame,is_moving,confinement_ratio,count,mean,std,min,25%,50%,75%,max
apple,1,382.0,34.0,cmt,21.05823232323232,1.8757303370786516,323.0526,499,23.311686559272623,0.12328498309164065,summary,False,0.005288548418758743,468.0,0.07476487922475246,0.05916283227076807,0.0,0.0,0.08515023575264623,0.12046680277921765,0.26928934580056696
apple,2,260.0,27.0,cmt,14.332828282828281,1.4895505617977527,299.0988,462,4.462049858192704,0.28109818304257733,summary,False,0.0629975441727656,51.0,0.0617490201930031,0.06799223732022798,0.0,0.0038282467823794117,0.04260776901903162,0.10284117040864268,0.2409336055584431
apple,3,252.0,26.0,cmt,13.89181818181818,1.4343820224719102,323.0526,499,30.10418259983685,0.38995104059634017,summary,True,0.012953384112095226,465.0,0.09713487283462947,0.060982946410656366,0.0,0.08515023575264372,0.08521553803806392,0.12046680277922152,0.3070860067327276
apple,4,254.0,23.0,cmt,14.002070707070706,1.268876404494382,285.5034,441,2.4947551870965485,0.24656996618327806,summary,False,0.09883533561072246,29.0,0.03212072382771088,0.04159834663108635,0.0,0.005012678708121406,0.01419170595877398,0.04015560092640776,0.1905185406756971
apple,5,412.0,33.0,cmt,22.7120202020202,1.820561797752809,260.2548,402,0.4087477838768453,0.0779902081192659,summary,False,0.19080276687876588,5.0,0.00397759622527254,0.004267069754280982,0.0007170643022572747,0.0010778510854765394,0.001576856217641604,0.005872430051906474,0.010643779469080808
apple,6,371.0,38.0,cmt,20.451843434343434,2.0964044943820226,321.7578,497,6.930570308703178,0.5429994245152261,summary,True,0.07834844757773334,63.0,0.07529842756509218,0.07310966331637067,0.0,0.012779424299977138,0.06732233645014177,0.1204668027792214,0.3510992599006896
banana,1,353.0,41.0,cmt,19.459570707070707,2.259183673469388,323.0526,499,17.820892504690242,0.951614212965781,summary,True,0.0533987965370044,499.0,0.05516405843720263,0.04802629864330373,0.0,0.0,0.08511282177375058,0.08515023575264599,0.17030047150529024
banana,2,396.0,37.0,cmt,21.829999999999995,2.038775510204082,323.0526,499,21.4766151184283,1.2726844052165438,summary,True,0.059259077754971724,467.0,0.06819786381841524,0.04829650257594207,0.0,0.0,0.08511282177375129,0.08515023575264692,0.1903849863440379
banana,3,644.0,31.0,cmt,35.501313131313125,1.7081632653061225,37.5492,58,0.976403726699037,0.19873369892585713,summary,False,0.203536399433586,11.0,0.08295175496698791,0.07359736881777898,0.0037005574684239656,0.02055069872429329,0.06386267681448356,0.14534731848723542,0.1903849863440178
banana,4,599.0,36.0,cmt,33.02063131313131,1.9836734693877551,323.0526,499,19.38578388386777,1.4427840378828487,summary,True,0.07442484897830144,317.0,0.09266725304818937,0.08724873682471128,0.0,0.0,0.08515023575264051,0.12039416546918834,0.6812018860211569
banana,5,591.0,37.0,cmt,32.57962121212121,2.038775510204082,323.0526,499,11.177993754372475,1.1628851921583199,summary,True,0.10403344443661335,186.0,0.07085994642825,0.0529730302149822,0.0,0.03858306565614185,0.08511282177375025,0.08515023575265429,0.2554507072579325
banana,6,362.0,41.0,cmt,19.955707070707067,2.259183673469388,301.6884,466,0.6649770003725957,0.2810851395584944,summary,False,0.42269903981791634,10.0,0.017201832588123484,0.024394086126953103,0.005472462066781187,0.005911065263992307,0.00800349916595123,0.013684859317389554,0.08511282177375128
blueberry,1,763.0,105.0,wt,42.061338383838375,5.790909090909091,323.0526,499,18.37211253210233,0.0779781665252988,summary,False,0.004244376708941033,465.0,0.05923277619578616,0.05048545516435266,0.0,0.0,0.08515023575264424,0.08518924181574658,0.2554507072579463
blueberry,2,596.0,60.0,wt,32.855252525252524,3.309090909090909,323.0526,499,20.127396967479655,1.0984286369572214,summary,True,0.054573804984915854,397.0,0.06870626800870953,0.05494301109334776,0.0,0.0,0.08515023575264144,0.0851892418157482,0.35109287845361326
blueberry,3,161.0,46.0,wt,8.875328282828281,2.536969696969697,323.0526,499,18.870850990920765,0.28109484236107923,summary,False,0.01489571628202252,498.0,0.05841054023836504,0.05405642891893669,0.0,0.0,0.08515023575264372,0.08518924181574726,0.30705682132652057
blueberry,4,180.0,46.0,wt,9.922727272727272,2.536969696969697,317.226,490,11.707241132258417,0.9372415499277262,summary,True,0.08005656835283148,230.0,0.05937711521242364,0.05601779172465697,0.0,0.0,0.08515023575264324,0.08518924181574726,0.2692810256214177
blueberry,5,527.0,72.0,wt,29.051540404040402,3.9709090909090907,146.3124,226,9.293094106119346,7.848501346946508,summary,True,0.8445520143585333,46.0,0.2511722337834659,0.20071753639793274,0.0,0.1204482028503229,0.1904191626808294,0.29761287240024525,0.855753160551718
blueberry,6,458.0,49.0,wt,25.24782828282828,2.7024242424242426,174.1506,269,11.74675354631902,2.02710264935079,summary,True,0.17256705364232366,131.0,0.11828533011905362,0.12428077233725003,0.0,0.02983970655987602,0.08515023575264692,0.17030047150529018,0.602108608731811
blueberry,7,479.0,56.0,wt,26.405479797979797,3.0884848484848484,323.0526,499,23.17223896149932,3.8531186401770823,summary,True,0.1662816720723034,452.0,0.07526994120278853,0.07314227330892271,0.0,0.0,0.08515023575264599,0.1204482028503222,0.43419036509281145
blueberry,8,392.0,36.0,wt,21.609494949494945,1.9854545454545454,316.5786,489,16.4417633203538,4.4771823824255215,summary,True,0.272305487872038,424.0,0.05726067839017593,0.05370492207026388,0.0,0.0,0.08515023575264599,0.08518924181574726,0.2554507072579325
blueberry,9,482.0,59.0,wt,26.570858585858584,3.2539393939393944,109.41059999999999,169,11.164341269136019,1.598661616161614,summary,True,0.14319354609672647,106.0,0.13359780239750127,0.12476268931319293,0.0,0.03697574535310136,0.08516973878419903,0.17030047150529384,0.5109014145158706
blueberry,10,558.0,60.0,wt,30.760454545454543,3.309090909090909,69.2718,107,0.0,0.0,summary,False,,0.0,,,,,,,
blueberry,11,404.0,31.0,wt,22.271010101010102,1.7096969696969697,317.8734,491,12.782537751211445,1.9553549313318852,summary,True,0.15297079260701338,116.0,0.13737393620947622,0.11106332914021733,0.0,0.08515023575264324,0.10782889209536693,0.19041916268082043,0.6199245094948115
blueberry,12,508.0,62.0,wt,28.00414141414141,3.4193939393939394,156.67079999999999,242,0.5830935307954307,0.07797816652529818,summary,False,0.13373183272831682,6.0,0.15011160817511812,0.06975864338674323,0.08515023575264051,0.09400398207439314,0.14537433717780407,0.1703004715052906,0.26928102562141787
blueberry,13,177.0,40.0,wt,9.757348484848485,2.206060606060606,301.041,465,19.480519674354955,13.728212027407919,summary,True,0.7047148770615377,173.0,0.16878994278995704,0.12872134722406392,0.0,0.08515023575264599,0.1703004715052865,0.19041916268082534,0.6021086087318375
blueberry,14,442.0,50.0,wt,24.365808080808076,2.757575757575758,198.1044,306,0.5963657583803681,0.5963657583803681,summary,True,1.0,1.0,0.048482655998924276,,0.048482655998924276,0.048482655998924276,0.048482655998924276,0.048482655998924276,0.048482655998924276
blueberry,15,374.0,35.0,wt,20.61722222222222,1.9303030303030304,306.2202,473,0.05512626262626341,0.05512626262626341,summary,False,1.0,1.0,0.004257511787632337,,0.004257511787632337,0.004257511787632337,0.004257511787632337,0.004257511787632337,0.004257511787632337
blueberry,16,69.0,84.0,wt,3.803712121212121,4.632727272727273,323.0526,499,5.3500794156041,4.98254913683031,summary,True,0.931303771360506,29.0,0.2849636964624594,0.16034246175870517,0.08515023575264462,0.17030047150528924,0.24089640570064913,0.3613446085509713,0.686507987163971
blueberry,17,401.0,32.0,wt,22.105631313131312,1.7648484848484849,323.0526,499,0.587543979232521,0.05512626262626341,summary,False,0.09382491281464932,13.0,0.06544439740995645,0.05176899648592631,0.0,0.0,0.08515023575264599,0.12044820285032505,0.12044820285032505
grape,1,752.0,112.0,wt,41.454949494949496,6.174358974358974,48.81729,73,1.5025321352238792,0.11025252525252682,summary,False,0.07337781513478184,29.0,0.05135337727307278,0.04506334583347898,0.0,0.0,0.08243425990497323,0.08243425990499448,0.16486851980996772
grape,2,554.0,114.0,wt,30.539949494949493,6.2846153846153845,333.69627,499,18.428104610190147,0.3486503261487922,summary,True,0.018919489199990747,499.0,0.055224185185498625,0.058414158755886535,0.0,0.0,0.08243425990498429,0.08243716466766098,0.3297370396199531
grape,3,197.0,121.0,wt,10.859873737373736,6.67051282051282,333.69627,499,17.18268432620221,0.7950616613116331,summary,True,0.04627109747335741,453.0,0.055032696683601424,0.053852007472349216,0.0,0.0,0.08243425990498786,0.08243716466766142,0.3398964329044501
grape,4,764.0,102.0,wt,42.11646464646464,5.623076923076923,333.02754,498,7.740938811662141,0.32144158378220056,summary,True,0.04152488368696721,182.0,0.05761119795834681,0.052529750316575086,0.0,0.0,0.0824342599049896,0.08243716466766142,0.2606882856441192
grape,5,751.0,98.0,wt,41.39982323232323,5.402564102564102,333.02754,498,5.45464636794477,0.6973006522975774,summary,True,0.1278360878526228,170.0,0.03734427113689945,0.04407067115860073,0.0,0.0,0.0,0.08243425990498342,0.16487432933531934
grape,6,760.0,100.0,wt,41.895959595959596,5.512820512820513,331.69008,496,6.622629223860587,0.9091674987494257,summary,True,0.1372819567602845,157.0,0.04968407097623877,0.05331853948557114,0.0,0.0,0.058290851178652764,0.08243716466765967,0.329748658670647
melon,1,628.0,60.0,cmt,34.61929292929293,3.3090909090909095,316.45146,489,11.1482574718433,0.5229976079619181,summary,True,0.046912946645054784,220.0,0.06860371121987835,0.05669730090978365,0.0,0.0,0.08518444637368473,0.0852234681081625,0.26938921406079597
melon,2,378.0,50.0,cmt,20.83772727272727,2.757575757575758,97.071,150,0.44493137591924065,0.44444527088995617,summary,True,0.998907460665636,2.0,0.016246219009796344,0.01718070986069647,0.0040976225616992865,0.010171920785747815,0.016246219009796344,0.022320517233844876,0.028394815457893404
melon,3,309.0,45.0,cmt,17.03401515151515,2.481818181818182,322.92286,499,30.231916485431235,0.38980511329298084,summary,True,0.012893827405246637,499.0,0.0936196232296198,0.07856609979873523,0.0,0.0,0.08522346810815538,0.1204965950571801,0.3072343002716496
melon,4,627.0,60.0,cmt,34.564166666666665,3.3090909090909095,322.92286,499,19.970660346408376,0.9371464646464673,summary,True,0.046926163100811456,276.0,0.0944469043249008,0.0689467591535459,0.0,0.04259222318684423,0.08522346810815948,0.1204965950571796,0.30723430027163307
melon,5,34.0,48.0,cmt,1.8742929292929291,2.647272727272727,193.49486,299,5.310457180197046,0.2810948423610785,summary,False,0.0529323244351343,51.0,0.07177141377372692,0.05775451333266004,0.0,0.02587198702366939,0.08033106337145016,0.08750993639754828,0.25555333912103395
melon,6,585.0,61.0,cmt,32.24886363636364,3.3642424242424243,221.96902,343,0.8009663352379479,0.6452708877239329,summary,True,0.8056154913579963,3.0,0.007974329658037288,0.009751653776836034,0.000698553017280001,0.002434093481335476,0.004169633945390951,0.011612217978415934,0.019054802011440917
melon,7,310.0,43.0,cmt,17.089141414141412,2.3715151515151516,236.2061,365,6.696709679652775,0.2206060606060607,summary,False,0.03294245549816027,81.0,0.05690757101224702,0.05509730808248849,0.0,0.017036889274735997,0.04259222318683781,0.08518444637368111,0.25567040432448507
melon,8,19.0,45.0,cmt,1.04739898989899,2.481818181818182,322.92286,499,17.927339357118974,0.7737357666069763,summary,True,0.04315954259546744,269.0,0.08675827709337385,0.07437262160030308,0.0,0.02409931901143522,0.08518444637367974,0.12049659505717408,0.45876127306616676
melon,9,15.0,45.0,cmt,0.8268939393939394,2.481818181818182,299.62582,463,7.60828813893888,0.41985895648111954,summary,True,0.05518441846757881,81.0,0.10033119657700203,0.08805294639436971,0.0,0.028394815457893095,0.08518444637368196,0.17036889274734876,0.42592223186839956
melon,10,607.0,67.0,cmt,33.46164141414141,3.6951515151515153,322.92286,499,8.581338190519281,0.32154686138718863,summary,True,0.037470480040331676,111.0,0.07230089799116779,0.057737873028945765,0.0,0.020082765842862317,0.08518444637367376,0.09526092176978959,0.26938921406079175
melon,11,12.0,44.0,cmt,0.6615151515151515,2.4266666666666667,305.45008,472,7.011921788067034,0.7166899861668287,summary,True,0.10221020824654656,77.0,0.07152832335741918,0.06502780264361638,0.0,0.02839481545789251,0.06085606875498903,0.08522346810816356,0.2694879321072452
melon,12,304.0,45.0,cmt,16.75838383838384,2.481818181818182,272.44594,421,2.3624925508904737,0.4710255999460177,summary,True,0.1993765439677167,34.0,0.06392713572109787,0.04639949485204759,0.0,0.018101694854406665,0.06187342659175103,0.08522346810816263,0.17036889274735847
melon,13,187.0,56.0,cmt,10.30861111111111,3.0884848484848484,275.68164,426,0.42088726782643604,0.17433253598730522,summary,False,0.4142024463880809,5.0,0.02655026199658054,0.037657651824668646,0.0,0.0,0.01120562746851446,0.03174927782745769,0.08979640468693054
orange,1,58.0,51.0,wt,3.197323232323232,2.8127272727272725,11.85822,18,1.1339379553888917,0.3486650719746099,summary,True,0.3074816133613173,15.0,0.11080403690870051,0.13079927532061686,0.0,0.0714304603051898,0.08367805010134116,0.1010410613980288,0.5292507050419861
orange,2,289.0,43.0,wt,15.931489898989899,2.3715151515151516,328.73620999999997,499,39.186525037082674,0.8268939393939405,summary,True,0.021101486763917977,499.0,0.11920355544977145,0.10542939652601885,0.0,0.08367805010133622,0.08371638177797827,0.16735610020268143,0.5916985887657387
orange,3,682.0,44.0,wt,37.59611111111111,2.4266666666666667,328.73620999999997,499,21.081348691048934,0.7498279472243817,summary,True,0.035568310083631226,494.0,0.06422919254246955,0.06624557379716911,0.0,0.0,0.08367805010133733,0.0837163817779786,0.7531024509120705
orange,4,651.0,43.0,wt,35.887196969696966,2.3715151515151516,328.07741999999996,498,20.34807728380351,2.2929112090741075,summary,True,0.11268441617819093,460.0,0.06371872357069949,0.056654630193523035,0.0,0.0,0.08367805010133711,0.08371638177797973,0.33471220040537186
orange,5,499.0,43.0,wt,27.508005050505044,2.3715151515151516,328.73620999999997,499,15.809135124981355,0.6163868295978265,summary,True,0.03898928212864861,499.0,0.048090641201288274,0.05117944313352873,0.0,0.0,0.08367805010133576,0.08371638177797827,0.2646253525209982
orange,6,78.0,50.0,wt,4.299848484848484,2.757575757575758,13.834589999999999,21,0.0,0.0,summary,False,,0.0,,,,,,,
orange,7,174.0,48.0,wt,9.591969696969697,2.647272727272727,105.40639999999999,160,10.578631628581423,2.370429292929294,summary,True,0.2240771184927974,89.0,0.1417486326067614,0.17399999004453592,0.0,0.012873546169437106,0.0837163817779795,0.1673561002026832,0.7577412052592678
orange,8,208.0,68.0,wt,11.466262626262624,3.75030303030303,100.79486999999999,153,0.07797816652530132,0.07797816652530132,summary,False,1.0,1.0,0.11836574101808128,,0.11836574101808128,0.11836574101808128,0.11836574101808128,0.11836574101808128,0.11836574101808128
orange,9,210.0,46.0,wt,11.57651515151515,2.536969696969697,115.94703999999999,176,1.9884438445988772,0.8268939393939387,summary,True,0.41584978204941236,14.0,0.21559480742821627,0.18285214601060354,0.08367805010134026,0.09234997283052679,0.1673561002026814,0.24526360968546793,0.7531024509120732
orange,10,301.0,29.0,wt,16.59300505050505,1.5993939393939394,309.6313,470,30.292597802266094,4.335474516987171,summary,True,0.14311993132074158,236.0,0.18966874684346732,0.22829879134432324,0.0,0.08367805010133914,0.11836574101807801,0.18713981067394928,1.18339717753145
orange,11,321.0,27.0,wt,17.695530303030303,1.489090909090909,254.95173,387,2.9701759784659765,0.3898051132929773,summary,True,0.131239736675233,32.0,0.13286311756285368,0.12358437541818063,0.0,0.08367805010134116,0.08371638177797827,0.17229881361175475,0.47346296407232963
orange,12,300.0,31.0,wt,16.537878787878785,1.7096969696969697,328.07741999999996,498,1.6928740600489163,0.07797816652530085,summary,False,0.0460625916395976,17.0,0.13257175473871802,0.0780050230508286,0.0,0.08371638177797827,0.16735610020268232,0.16735610020268232,0.26462535252099195
pineapple,1,437.0,14.0,wt,24.090176767676766,0.77125,322.46378000000004,499,17.12362776486816,1.3102103341498,summary,True,0.0765147638187922,499.0,0.05310248414525243,0.05790187338704066,0.0,0.0,0.08524850006852673,0.08530572038355892,0.38144761362244767
razzbery,1,223.0,58.0,cmt,12.293156565656563,3.198613861386139,322.25919000000005,499,24.784123123502972,3.199225107227559,summary,True,0.12908365130714305,448.0,0.07921452129433833,0.0838971792029049,0.0,0.0,0.08535987771366943,0.12074146348909344,1.3684250894531873
razzbery,2,790.0,43.0,cmt,43.54974747474747,2.3713861386138615,178.24356,276,7.673105924798918,4.652971046623107,summary,True,0.6063999496716245,139.0,0.08308126664904804,0.08731584574185774,0.0,0.0,0.08535987771367258,0.12074146348909824,0.42686141792442506
razzbery,3,428.0,56.0,cmt,23.594040404040403,3.0883168316831684,308.69718,478,17.355032113528225,5.348384895550667,summary,True,0.3081748774974382,339.0,0.07103017019595587,0.06107489448659545,0.0,0.0,0.08535987771366708,0.0853943340169506,0.512159266281983
razzbery,4,258.0,57.0,cmt,14.222575757575756,3.1434653465346534,40.68603,63,4.096191589004704,0.9983839942880482,summary,True,0.24373469174830187,32.0,0.13672255308319844,0.08307215396407183,0.0,0.08535987771366571,0.12074146348910181,0.19088590093395053,0.3078554294355549
razzbery,5,279.0,56.0,cmt,15.380227272727272,3.0883168316831684,322.25919000000005,499,18.292704927491037,0.19878525660006743,summary,False,0.01086691429113497,395.0,0.06975461970293748,0.0533436881590202,0.0,0.0,0.08535987771366567,0.08539433401694896,0.25607963314099713
razzbery,6,229.0,56.0,cmt,12.62391414141414,3.0883168316831684,317.09271,491,3.7627659645395584,0.38588383838383855,summary,True,0.10255323929801155,28.0,0.04112893732249062,0.04803450639972182,0.002188714813170954,0.011902087562247601,0.021902874159997907,0.0603707317445499,0.19093212891518324
razzbery,7,273.0,56.0,cmt,15.049469696969695,3.0883168316831684,293.19774,454,1.1832989711092339,0.055126262626261635,summary,False,0.04658692686480226,12.0,0.0320906295125229,0.043124233065367355,0.0,0.0022532701682067675,0.008417687384247497,0.0439789938326232,0.1280398165705013
razzbery,8,437.0,60.0,cmt,24.090176767676766,3.308910891089109,322.25919000000005,499,5.315371661865146,0.7354910908199539,summary,True,0.13837058584194517,73.0,0.08011280756116844,0.05626158233233468,0.0,0.024398381147699457,0.08539433401694307,0.12074146348909538,0.1909321289151893
razzbery,9,404.0,58.0,cmt,22.271010101010102,3.198613861386139,198.90948,308,1.1967220104404064,1.1694140664219514,summary,True,0.9771810464082588,2.0,0.0350905836667626,0.01267136604378388,0.026130574810306062,0.03061057923853433,0.0350905836667626,0.039570588094990866,0.044050592523219134
razzbery,10,749.0,32.0,cmt,41.2895707070707,1.7647524752475248,317.73852,492,0.0,0.0,summary,False,,0.0,,,,,,,
